# git=d4f160a  tag=baseline  date=2026-05-17T06:04:00Z
# sizes=10000,100000,1000000  reps=3  mode=all
kind,bench,runtime,N,rep,exit,bench_ms,real_s,user_s,sys_s,rss_b,peak_b,instructions,cycles
micro,inner_sq,baseline,100000,3,0,3,0.00,0.00,0.00,3522560,2867968,42765223,16705878
micro,inner_sq,jit,100000,1,0,3,0.00,0.00,0.00,3538944,2867968,42822323,16254888
micro,inner_sq,jit,100000,2,0,3,0.00,0.00,0.00,3538944,2867968,42786569,16247789
micro,inner_sq,jit,100000,3,0,3,0.00,0.00,0.00,3538944,2867968,42873872,16448542
micro,inner_sq,baseline,1000000,1,0,30,0.03,0.02,0.00,14336000,13681408,275205615,103259139
micro,inner_sq,baseline,1000000,2,0,30,0.03,0.02,0.00,14336000,13714304,274355290,102696624
micro,inner_sq,baseline,1000000,3,0,31,0.03,0.02,0.00,14336000,13697856,274635633,105469221
micro,inner_sq,jit,1000000,1,0,29,0.03,0.02,0.00,14352384,13681408,274548990,102276634
micro,inner_sq,jit,1000000,2,0,30,0.03,0.02,0.00,14352384,13697856,275777434,102211910
micro,inner_sq,jit,1000000,3,0,30,0.03,0.02,0.00,14352384,13697856,275498642,102748398
micro,max,baseline,10000,1,0,0,0.00,0.00,0.00,2293760,1672000,17525892,6347913
micro,max,baseline,10000,2,0,0,0.00,0.00,0.00,2293760,1672000,17455696,6339720
micro,max,baseline,10000,3,0,0,0.00,0.00,0.00,2293760,1655552,17396522,6508177
micro,max,jit,10000,1,0,0,0.00,0.00,0.00,2293760,1655552,17511535,6486984
micro,max,jit,10000,2,0,0,0.00,0.00,0.00,2293760,1655552,17516284,6660387
micro,max,jit,10000,3,0,0,0.00,0.00,0.00,2293760,1672000,17545078,6656229
micro,max,baseline,100000,1,0,0,0.00,0.00,0.00,2654208,2032448,23289832,8843840
micro,max,baseline,100000,2,0,0,0.00,0.00,0.00,2654208,2016000,23296997,8973900
micro,max,baseline,100000,3,0,0,0.00,0.00,0.00,2654208,2016000,23264095,9092679
micro,max,jit,100000,1,0,0,0.00,0.00,0.00,2654208,2032448,23385975,8770062
micro,max,jit,100000,2,0,0,0.00,0.00,0.00,2654208,2016000,23391044,8701030
micro,max,jit,100000,3,0,0,0.00,0.00,0.00,2654208,2032448,23381881,8975598
micro,max,baseline,1000000,1,0,7,0.01,0.00,0.00,6258688,5620480,82020702,30295383
micro,max,baseline,1000000,2,0,8,0.01,0.00,0.00,6258688,5620480,81941957,31421979
micro,max,baseline,1000000,3,0,8,0.01,0.00,0.00,6258688,5636928,82177826,31531857
micro,max,jit,1000000,1,0,8,0.01,0.00,0.00,6258688,5620480,82571705,32195717
micro,max,jit,1000000,2,0,8,0.01,0.00,0.00,6258688,5620480,82111123,32100142
micro,max,jit,1000000,3,0,8,0.01,0.00,0.00,6258688,5636928,82231116,31853703
micro,outer,baseline,10000,1,0,0,0.00,0.00,0.00,2310144,1688384,16622109,6894833
micro,outer,baseline,10000,2,0,0,0.00,0.00,0.00,2310144,1671936,16554306,6260599
micro,outer,baseline,10000,3,0,0,0.00,0.00,0.00,2310144,1671936,16528551,7102620
micro,outer,jit,10000,1,0,0,0.00,0.00,0.00,2342912,1671936,16629558,6278392
micro,outer,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1671936,16612721,6161880
micro,outer,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1671936,16722417,6646767
micro,outer,baseline,100000,1,0,0,0.00,0.00,0.00,2375680,1753920,16554329,7160749
micro,outer,baseline,100000,2,0,0,0.00,0.00,0.00,2310144,1671936,16500925,5869244
micro,outer,baseline,100000,3,0,0,0.00,0.00,0.00,2310144,1688384,16516351,6162692
micro,outer,jit,100000,1,0,0,0.00,0.00,0.00,2342912,1671936,16631605,6544838
micro,outer,jit,100000,2,0,0,0.00,0.00,0.00,2342912,1671936,16601793,6235158
micro,outer,jit,100000,3,0,0,0.00,0.00,0.00,2342912,1671936,16623843,6119934
micro,outer,baseline,1000000,1,0,0,0.00,0.00,0.00,2310144,1688384,16534249,6228790
micro,outer,baseline,1000000,2,0,0,0.00,0.00,0.00,2310144,1671936,16565893,6563254
micro,outer,baseline,1000000,3,0,0,0.00,0.00,0.00,2310144,1688384,16540153,6989993
micro,outer,jit,1000000,1,0,0,0.00,0.00,0.00,2342912,1688384,16606369,6088482
micro,outer,jit,1000000,2,0,0,0.00,0.00,0.00,2342912,1671936,16620282,6522762
micro,outer,jit,1000000,3,0,0,0.00,0.00,0.00,2342912,1688384,16635382,6466338
micro,reverse,baseline,10000,1,0,0,0.00,0.00,0.00,2326528,1704704,18775260,7177542
micro,reverse,baseline,10000,2,0,0,0.00,0.00,0.00,2326528,1704704,18667098,7094899
micro,reverse,baseline,10000,3,0,0,0.00,0.00,0.00,2326528,1704704,18628896,6977041
micro,reverse,jit,10000,1,0,0,0.00,0.00,0.00,2342912,1704704,18819175,7770748
micro,reverse,jit,10000,2,0,0,0.00,0.00,0.00,2342912,1721152,18730156,6883367
micro,reverse,jit,10000,3,0,0,0.00,0.00,0.00,2342912,1704704,18729016,7201615
micro,reverse,baseline,100000,1,0,1,0.00,0.00,0.00,3047424,2425600,33319600,12082671
micro,reverse,baseline,100000,2,0,1,0.00,0.00,0.00,3047424,2425600,33337739,12138229
micro,reverse,baseline,100000,3,0,1,0.00,0.00,0.00,3047424,2425600,33330566,12367717
micro,reverse,jit,100000,1,0,1,0.00,0.00,0.00,3063808,2425600,33450595,12896239
micro,reverse,jit,100000,2,0,1,0.00,0.00,0.00,3063808,2425600,33431160,12169587
micro,reverse,jit,100000,3,0,1,0.00,0.00,0.00,3063808,2425600,33468042,12977913
micro,reverse,baseline,1000000,1,0,18,0.02,0.01,0.00,10256384,9634560,183233466,66458092
micro,reverse,baseline,1000000,2,0,17,0.02,0.01,0.00,10256384,9634560,183288635,63781341
micro,reverse,baseline,1000000,3,0,17,0.02,0.01,0.00,10256384,9651008,181705070,64286078
micro,reverse,jit,1000000,1,0,18,0.02,0.01,0.00,10272768,9634560,181692482,65412540
micro,reverse,jit,1000000,2,0,19,0.02,0.01,0.00,10272768,9651008,182881976,65750804
micro,reverse,jit,1000000,3,0,18,0.02,0.01,0.00,10272768,9651008,181919560,64089632
